BN_341	BN_342	BN_343	BN_344
ENSRNOG00000001032	867	881	1205	1044
ENSRNOG00000001033	457	546	317	248
ENSRNOG00000001034	160	110	74	49
ENSRNOG00000001035	450	469	288	208
ENSRNOG00000001037	732	904	428	386
ENSRNOG00000001039	507	559	308	266
ENSRNOG00000001040	260	238	261	177
ENSRNOG00000001043	407	454	207	160
ENSRNOG00000001044	1030	1099	435	319
ENSRNOG00000001047	533	532	281	163
ENSRNOG00000001049	7900	11677	5120	4113
ENSRNOG00000001050	2357	2117	1336	888
ENSRNOG00000001052	234	307	241	135
ENSRNOG00000001053	4363	4186	23574	17283
ENSRNOG00000001055	181	173	108	78
ENSRNOG00000001056	195	270	121	73
ENSRNOG00000001058	2062	2307	2896	2207
ENSRNOG00000001059	251	282	185	81
ENSRNOG00000001060	343	393	437	335
ENSRNOG00000001061	147	200	144	67
ENSRNOG00000001062	66	91	68	39
ENSRNOG00000001064	2040	2310	1237	1016
ENSRNOG00000001065	153	238	119	79
ENSRNOG00000001066	92731	101435	76791	45277
ENSRNOG00000001068	7254	7847	4561	2822
ENSRNOG00000001069	2628	3078	1770	1285
ENSRNOG00000001070	190	200	135	79
ENSRNOG00000001072	163	143	125	49
ENSRNOG00000001073	21	19	10	8
ENSRNOG00000001074	60	76	32	28
ENSRNOG00000001079	724	644	417	255
ENSRNOG00000001080	369	364	628	496
ENSRNOG00000001081	193	176	333	199
ENSRNOG00000001082	79	23	30	21
ENSRNOG00000001083	4686	4861	2988	2079
ENSRNOG00000001086	283	246	247	99
ENSRNOG00000001088	458	431	337	238
ENSRNOG00000001090	2163	1853	3120	2204
ENSRNOG00000001091	831	802	493	256
ENSRNOG00000001094	105	54	45	13
ENSRNOG00000001098	1075	1018	586	450
ENSRNOG00000001099	79	112	65	34
ENSRNOG00000001101	831	803	500	382
ENSRNOG00000001104	425	373	1167	528
ENSRNOG00000001106	788	951	399	352
ENSRNOG00000001108	1142	1274	2120	1555
ENSRNOG00000001111	105	90	82	40
ENSRNOG00000001113	40	10	18	12
ENSRNOG00000001114	1699	1754	1005	608
ENSRNOG00000001115	11	1	8	5
ENSRNOG00000001117	173	150	89	71
ENSRNOG00000001120	320	290	169	88
ENSRNOG00000001123	40	59	35	17
ENSRNOG00000001124	3	1	2	0
ENSRNOG00000001126	1538	1468	783	497
ENSRNOG00000001128	2	2	0	9
ENSRNOG00000001130	11	5	40	11
ENSRNOG00000001134	494	486	309	235
ENSRNOG00000001135	197	202	132	99
ENSRNOG00000001136	18311	17541	10439	5935
ENSRNOG00000001138	1675	1387	887	469
ENSRNOG00000001139	760	787	490	343
ENSRNOG00000001142	1263	1788	1291	726
ENSRNOG00000001143	149	217	172	57
ENSRNOG00000001148	1779	3053	1329	888
ENSRNOG00000001149	1485	1356	904	444
ENSRNOG00000001151	184	162	123	61
ENSRNOG00000001153	0	3	2	2
ENSRNOG00000001156	12	21	6	12
ENSRNOG00000001158	691	657	524	277
ENSRNOG00000001159	85	156	168	93
ENSRNOG00000001160	119	79	60	41
