BN_336	BN_337	BN_338	BN_339
ENSRNOG00000001059	344	478	663	412
ENSRNOG00000001060	261	281	735	690
ENSRNOG00000001061	295	319	351	345
ENSRNOG00000001062	202	208	374	273
ENSRNOG00000001064	2885	3162	4043	3661
ENSRNOG00000001065	466	454	822	603
ENSRNOG00000001066	48378	49830	294970	218437
ENSRNOG00000001068	5445	6167	8277	5644
ENSRNOG00000001069	3676	3708	4742	3925
ENSRNOG00000001070	872	1048	1166	811
ENSRNOG00000001072	138	116	259	170
ENSRNOG00000001073	715	707	1392	749
ENSRNOG00000001074	291	340	491	450
ENSRNOG00000001079	823	792	959	762
ENSRNOG00000001080	498	529	1021	903
ENSRNOG00000001081	196	206	211	212
ENSRNOG00000001082	158	78	175	112
ENSRNOG00000001083	2908	3235	8389	6262
ENSRNOG00000001086	457	398	831	453
ENSRNOG00000001088	279	320	276	281
ENSRNOG00000001090	5462	4186	26064	19503
ENSRNOG00000001091	583	640	1125	848
ENSRNOG00000001094	55	68	115	106
ENSRNOG00000001098	1757	1593	2150	2033
ENSRNOG00000001099	143	179	216	178
ENSRNOG00000001101	1715	1496	2764	2142
ENSRNOG00000001104	51	56	1081	584
ENSRNOG00000001106	662	688	914	783
ENSRNOG00000001108	1149	1311	4041	3661
ENSRNOG00000001111	203	250	367	277
ENSRNOG00000001113	72	37	77	54
ENSRNOG00000001114	1295	1386	2018	1413
ENSRNOG00000001115	8	9	31	9
ENSRNOG00000001117	96	155	186	166
ENSRNOG00000001120	1467	1465	5719	3976
ENSRNOG00000001123	98	160	509	305
ENSRNOG00000001124	10	9	10	17
ENSRNOG00000001126	807	939	2793	2077
ENSRNOG00000001128	3	4	14	4
ENSRNOG00000001130	506	652	1287	819
ENSRNOG00000001134	316	376	431	306
ENSRNOG00000001135	964	1089	1396	1077
ENSRNOG00000001136	9390	11245	10412	8163
ENSRNOG00000001138	2379	1929	5734	3024
ENSRNOG00000001139	1446	1500	2307	1692
ENSRNOG00000001142	1240	1614	3082	1936
ENSRNOG00000001143	263	348	1806	1167
ENSRNOG00000001148	16067	19437	19244	13845
ENSRNOG00000001149	1211	1412	10653	6088
ENSRNOG00000001151	112	187	196	172
ENSRNOG00000001153	3	3	1	3
ENSRNOG00000001156	14	12	35	20
ENSRNOG00000001158	487	636	855	604
ENSRNOG00000001159	64	92	138	82
ENSRNOG00000001160	545	633	624	553
ENSRNOG00000001161	549	700	969	675
ENSRNOG00000001163	485	498	750	546
ENSRNOG00000001167	5	2	10	16
ENSRNOG00000001169	115	115	210	150
ENSRNOG00000001171	943	914	839	837
ENSRNOG00000001172	3391	4137	5938	4554
ENSRNOG00000001173	304	324	1073	858
ENSRNOG00000001174	23	24	36	20
ENSRNOG00000001177	3418	3777	4217	3144
ENSRNOG00000001178	1541	1408	3325	2188
ENSRNOG00000001181	117	184	234	175
ENSRNOG00000001182	2485	2711	27598	23257
ENSRNOG00000001183	902	975	1958	1285
ENSRNOG00000001184	460	491	870	666
ENSRNOG00000001185	422	523	939	846
ENSRNOG00000001187	217	327	276	155
ENSRNOG00000001189	2255	3056	3875	2022
ENSRNOG00000001190	888	981	1518	1079
ENSRNOG00000001191	94	116	177	208
ENSRNOG00000001192	150	260	223	148
ENSRNOG00000001193	38	21	36	44
ENSRNOG00000001194	332	321	455	385
ENSRNOG00000001195	6	2	11	5
ENSRNOG00000001198	25	75	241	116
ENSRNOG00000001199	414	507	539	433
ENSRNOG00000001201	1186	1547	1537	1134
ENSRNOG00000001203	520	628	581	610
ENSRNOG00000001204	1578	2149	2934	2256
ENSRNOG00000001205	2131	2387	3579	2622
ENSRNOG00000001210	388	583	515	502
ENSRNOG00000001211	2530	2844	2749	2647
ENSRNOG00000001214	1642	1607	1480	1544
ENSRNOG00000001215	267	326	269	241
ENSRNOG00000001216	1134	1416	1760	1531
ENSRNOG00000001217	16	7	16	11
ENSRNOG00000001219	28	19	24	21
ENSRNOG00000001222	800	988	6966	4928
ENSRNOG00000001223	5088	5211	9095	6630
ENSRNOG00000001224	1700	2243	2409	1998
ENSRNOG00000001225	422	442	2326	1750
ENSRNOG00000001227	646	610	1032	833
ENSRNOG00000001228	387	506	683	518
ENSRNOG00000001229	28210	29598	55557	39363
ENSRNOG00000001232	127	139	230	178
ENSRNOG00000001237	722	752	6926	5857
ENSRNOG00000001238	1681	1642	1834	1722
ENSRNOG00000001239	9142	10236	10220	8169
ENSRNOG00000001241	151	140	224	185
ENSRNOG00000001242	11148	15897	15886	12483
ENSRNOG00000001243	576	622	1376	1235
ENSRNOG00000001245	78	88	302	177
ENSRNOG00000001247	2989	2855	4800	3609
ENSRNOG00000001249	2173	2463	3671	2876
ENSRNOG00000001250	166	232	718	436
ENSRNOG00000001252	31	34	65	36
ENSRNOG00000001253	3690	3742	7884	7607
ENSRNOG00000001254	1289	1348	2461	1728
ENSRNOG00000001255	342	317	1732	1058
ENSRNOG00000001256	2980	2759	5635	3915
ENSRNOG00000001258	774	932	1205	906
ENSRNOG00000001259	49	38	211	79
ENSRNOG00000001260	75	83	74	56
ENSRNOG00000001261	11328	10280	10192	9839
ENSRNOG00000001265	1275	930	1786	1472
ENSRNOG00000001269	3601	3997	4280	3722
ENSRNOG00000001270	30	64	423	234
ENSRNOG00000001271	2935	2603	3992	2750
ENSRNOG00000001272	1162	1343	1487	1561
ENSRNOG00000001273	335	421	354	392
ENSRNOG00000001274	1318	1449	1365	1286
ENSRNOG00000001275	174	179	337	215
ENSRNOG00000001276	627	614	1772	1486
ENSRNOG00000001277	589	734	1142	788
ENSRNOG00000001278	443	441	491	395
ENSRNOG00000001283	607	615	873	605
ENSRNOG00000001285	12507	14019	17193	16601
ENSRNOG00000001289	885	722	2793	1574
ENSRNOG00000001293	871	934	1157	974
ENSRNOG00000001294	290	206	440	341
ENSRNOG00000001296	1465	1594	3576	1889
ENSRNOG00000001297	114	134	141	102
ENSRNOG00000001299	643	697	986	789
ENSRNOG00000001300	1588	1764	2171	1765
ENSRNOG00000001302	232	251	479	282
ENSRNOG00000001303	1211	1110	1702	1660
ENSRNOG00000001304	653	768	1612	1190
ENSRNOG00000001309	202	182	289	229
ENSRNOG00000001311	0	6	2	2
ENSRNOG00000001312	116	125	203	117
ENSRNOG00000001314	950	981	1585	1293
ENSRNOG00000001316	5000	6005	6383	5371
ENSRNOG00000001317	1242	1276	1288	1257
ENSRNOG00000001323	199	236	256	249
ENSRNOG00000001325	127	138	259	201
ENSRNOG00000001329	20	56	78	59
ENSRNOG00000001331	250	203	231	273
ENSRNOG00000001333	14374	14385	18793	15623
ENSRNOG00000001335	785	882	1340	964
ENSRNOG00000001336	450	545	2943	1875
ENSRNOG00000001337	608	592	1742	907
ENSRNOG00000001338	55416	59864	53393	45449
ENSRNOG00000001339	825	832	1106	885
ENSRNOG00000001341	140	153	242	196
ENSRNOG00000001344	43901	45810	49263	46166
ENSRNOG00000001345	737	878	1205	941
ENSRNOG00000001346	1428	1683	1912	1449
ENSRNOG00000001348	1532	1648	2052	1945
ENSRNOG00000001349	538	527	555	591
ENSRNOG00000001350	780	1010	1367	1052
ENSRNOG00000001351	777	979	1194	872
ENSRNOG00000001352	991	1044	2049	1772
ENSRNOG00000001353	90	138	204	119
ENSRNOG00000001355	615	828	3106	2297
ENSRNOG00000001357	118	124	134	102
ENSRNOG00000001369	441	486	344	247
ENSRNOG00000001375	15	11	12	13
ENSRNOG00000001376	3296	3939	6134	3975
ENSRNOG00000001377	990	1151	1238	1177
ENSRNOG00000001378	0	0	6	4
ENSRNOG00000001379	168	160	184	191
ENSRNOG00000001383	686	714	1334	735
ENSRNOG00000001385	2965	3507	5390	3595
ENSRNOG00000001387	84	130	159	116
ENSRNOG00000001388	844	606	677	629
ENSRNOG00000001389	180	238	972	1395
ENSRNOG00000001391	446	456	395	426
ENSRNOG00000001396	813	950	1386	898
ENSRNOG00000001397	392	403	854	871
ENSRNOG00000001402	387	486	735	460
ENSRNOG00000001404	1266	1513	2287	1950
ENSRNOG00000001407	10577	14030	18583	15446
ENSRNOG00000001409	1995	2677	8511	5394
ENSRNOG00000001410	415	383	609	461
ENSRNOG00000001414	41	46	43	45
ENSRNOG00000001415	821	906	1280	799
ENSRNOG00000001417	924	981	1153	1098
ENSRNOG00000001418	327	360	346	281
ENSRNOG00000001419	52	61	133	85
ENSRNOG00000001420	1788	1796	1612	1616
ENSRNOG00000001424	1352	1167	4426	2849
ENSRNOG00000001425	104	115	227	160
ENSRNOG00000001426	440	473	1244	1061
ENSRNOG00000001427	78	71	154	93
ENSRNOG00000001428	63	98	118	72
ENSRNOG00000001429	367	394	420	395
ENSRNOG00000001430	704	832	673	610
ENSRNOG00000001431	113	135	187	104
ENSRNOG00000001432	137	153	305	206
ENSRNOG00000001435	51	56	54	57
ENSRNOG00000001436	2375	3039	4574	3846
ENSRNOG00000001440	4254	5081	5093	3992
ENSRNOG00000001441	355	410	452	349
ENSRNOG00000001442	2746	3511	5009	4025
ENSRNOG00000001443	92	190	288	189
ENSRNOG00000001448	733	860	1456	1005
ENSRNOG00000001449	400	499	956	575
ENSRNOG00000001450	151	199	224	171
ENSRNOG00000001453	2226	2262	5351	4716
ENSRNOG00000001454	3341	3448	5101	3899
ENSRNOG00000001455	1108	1113	5739	5484
ENSRNOG00000001456	1971	2266	2591	2146
ENSRNOG00000001457	291	328	388	320
ENSRNOG00000001465	605	689	878	659
ENSRNOG00000001466	22	38	53	31
ENSRNOG00000001469	1512	1090	1993	1671
ENSRNOG00000001470	77	123	259	203
ENSRNOG00000001476	4	3	21	6
ENSRNOG00000001478	138	122	323	187
ENSRNOG00000001479	4384	4679	6575	5191
ENSRNOG00000001480	421	499	601	446
ENSRNOG00000001483	522	602	633	627
ENSRNOG00000001484	53	42	154	97
ENSRNOG00000001488	5487	6271	6210	5472
ENSRNOG00000001489	225	245	367	257
ENSRNOG00000001490	503	571	2335	2120
ENSRNOG00000001493	517	600	516	484
ENSRNOG00000001494	1841	2354	2775	2199
ENSRNOG00000001500	223	256	424	335
ENSRNOG00000001501	134	143	233	151
ENSRNOG00000001506	9	4	6	10
ENSRNOG00000001512	0	2	2	1
ENSRNOG00000001514	164	184	311	191
ENSRNOG00000001515	1005	921	10940	7482
ENSRNOG00000001516	6575	6238	8014	6414
ENSRNOG00000001517	1913	1795	12842	10960
ENSRNOG00000001518	1704	1688	10607	7370
ENSRNOG00000001524	985	857	823	777
ENSRNOG00000001525	1373	1296	5957	3764
ENSRNOG00000001527	49	54	112	77
ENSRNOG00000001531	818	666	879	641
ENSRNOG00000001544	1909	1703	2846	2041
ENSRNOG00000001547	864	806	2866	2511
ENSRNOG00000001548	5329	4928	6619	5113
ENSRNOG00000001554	558	553	811	530
ENSRNOG00000001555	105	93	149	88
ENSRNOG00000001557	5104	6417	22259	20293
ENSRNOG00000001559	1469	1421	1911	1670
ENSRNOG00000001571	1	3	3	5
ENSRNOG00000001573	1700	1753	4057	3193
ENSRNOG00000001582	1919	1711	2631	1906
ENSRNOG00000001584	52	42	60	36
